x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-32245306.19125989,-11632207.099031802,58062461228.6846,7540985324.496737,77046860916.01666,74151509942.8473,-145740239704.26886,-17544159269.365948,-127706001953.73186,-184080903470.7966,-634320261324.5438,-436274777358.9587,-1305782944349.2285,-535608238179.6563,-971757147434.2223,-2668689784274.726,-3195580890183.015,3229965160404.4683
-33564953.19123349,-12217152.115874087,53689684194.9597,23969545147.91147,67771433779.17274,82734522033.6709,-144071929410.15335,-28236903884.351677,-120397967860.69876,-188890492732.0377,-631637488311.1067,-440137019151.57446,-1304457427780.3271,-538816131565.2133,-969453034427.4685,-2669527146616.386,-3196970591072.2095,3228590387831.4893
-34908957.38760253,-12816281.89576476,44800611039.70601,38382060921.09233,57547909573.82498,90160520844.61531,-141623862039.47134,-38776873765.62167,-112906578844.4344,-193412302556.16888,-628931025864.205,-443982747564.47723,-1303123932461.0513,-542020738711.8053,-967148196674.4817,-2670362509812.8057,-3198359707895.0938,3227215025077.6426
-36277656.80315607,-13429465.271326473,32179778831.447395,49598901955.64798,46519479719.297226,96326072172.27654,-138409640269.1339,-49107104771.17782,-105243152532.53972,-197639273726.6078,-626200974730.7827,-447811817717.4922,-1301782466538.1758,-545222040125.94037,-964842635896.0327,-2671195873226.9155,-3199748240399.0767,3225839072395.7275
-37671450.019776285,-14056654.911407955,16894600246.33347,56712709652.958435,34840426290.23789,101145289979.86423,-134447045354.34665,-59171834450.9273,-97419283493.53831,-201564791468.6283,-623447436534.4808,-451624085334.9598,-1300433038206.7012,-548420016332.1189,-962536353813.3972,-2672027236223.105,-3201136188331.673,3224462530038.647
-39090777.546577595,-14697898.748813117,212292327.0199089,59145884721.76081,22674002303.23197,104550994932.70282,-129757929391.54868,-68916811179.01332,-89446825818.41293,-205182696736.13553,-620670513772.1813,-455419406750.9221,-1299075655709.7734,-551614647872.9283,-960229352148.3541,-2672856598167.2217,-3202523551440.505,3223085398259.407
-40536101.7115302,-15353347.499439377,-16490813984.98386,56687999207.91853,10190196127.762903,106495623035.99931,-124368084352.90575,-78289593217.5428,-81337875210.49364,-208487296815.81876,-617870309810.5135,-459197638914.28345,-1297710327338.601,-554805915309.1392,-957921632623.1852,-2673683958426.574,-3203910329473.3027,3221707677311.1177
-42007885.465657644,-16023258.331364565,-31825630040.227844,49513613663.61961,-2436592062.4049435,106951873606.5071,-118307088906.23618,-87239835920.48044,-73104750610.31299,-211473375224.95758,-615046928882.3243,-462958639393.946,-1296337061432.3728,-557993799219.8013,-955613196960.6733,-2674509316369.933,-3205296522177.903,3220329367446.9917
-43506570.39556009,-16707994.45679033,-44490953351.97181,38179213485.52868,-15029932892.40398,105913088790.94125,-111608134177.70546,-95719565399.15858,-64759975383.32709,-214136200880.2023,-612200476083.109,-466702266383.9232,-1294955866378.174,-561178280202.3422,-953304046884.102,-2675332671367.5312,-3206682129302.2495,3218950468920.345
-45032554.41650079,-17408020.126154613,-53375964339.04001,23596167610.167377,-27413779801.559628,103393359601.76231,-104307829744.00984,-103683437095.58347,-56316258099.63842,-216471536515.7781,-609331057367.4062,-470428378708.43274,-1293566750610.904,-564359338872.666,-950994184117.254,-2676154022791.0674,-3208067150594.395,3217570981984.5977
-46586170.05309065,-18123890.356850885,-57659520165.4333,6975686488.552486,-39414880442.801895,99427356284.06723,-96445991255.00027,-111088977844.63121,-47786472936.035774,-218475646330.78012,-606438779545.1586,-474136835826.9713,-1292169722613.1921,-567536955865.2544,-948683610384.41,-2676973370013.7046,-3209451585802.4985,3216190906893.272
-48167664.81963365,-18856234.89045167,-56897539059.20595,-10257311018.15453,-50865157227.83643,94069883831.1317,-88065411185.98955,-117896810149.45412,-39183639731.77842,-220145302846.5421,-603523750278.0405,-477827497839.3726,-1290764790915.3152,-570711111833.2678,-946372327410.3479,-2677790712410.073,-3210835434674.828,3214810243899.9937
-49777185.794044636,-19605736.468468037,-51086255067.53392,-26580956496.520195,-61604026758.559006,87395166537.7119,-79211614300.94493,-124070857544.25182,-30520903730.58596,-221477792956.50064,-600586078075.7562,-481500225490.84717,-1289351964095.1155,-573881787448.6486,-944060336920.3413,-2678606049356.2725,-3212218696959.7593,3213428993258.4917
-51414770.74255887,-20373104.554722223,-40687529255.16086,-40517128740.90184,-71480628110.40906,79495868605.00536,-69932599473.82213,-129578530073.43178,-21811515042.263233,-222470923152.57706,-597625872292.3066,-485154880177.0023,-1287931250777.9187,-577048963402.2234,-941747640640.1587,-2679419380229.87,-3213601372405.7754,3212047155222.5977
-53080347.78284018,-21159046.906753603,-26604626051.2028,-50781752453.7764,-80355930438.66411,70481860992.68813,-60278569567.23686,-134390889073.05032,-13068807858.36637,-223123023913.88113,-594643243122.2227,-488791323948.83954,-1286502659636.452,-580212620403.808,-939434240296.0618,-2680230704409.906,-3214983460761.4683,3210664730046.247
