x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
-21843328.609075807,-7072577.342805786,-158383342539.38925,-4448553505.07387,49992582335.9435,-149816991342.27588,-129199172917.65135,114386130048.09062,-189412846292.24042,-135841913291.8971,-655448450230.397,-405042759598.7885,-1316262301007.4836,-509883043305.3482,-990179175226.708,-2661958371100.789,-3184453752506.8096,3240953947725.1904
-22966506.34899469,-7510639.395730501,-157573809641.82455,-13605569244.899433,59929747179.77739,-147520371655.277,-136323689597.77115,107283895709.70157,-184457840473.32343,-142931737516.76874,-652971672065.1007,-409039794633.688,-1315004941977.5103,-513118083198.376,-987881290494.6045,-2662812695573.9478,-3185848406114.328,3239584200283.462
-24116415.808447223,-7964763.401449975,-156082386109.12283,-22723499832.46107,69631001998.84984,-144585600475.46793,-143009421765.20584,99815169624.79607,-179250589478.44864,-149833424641.04135,-650470420270.9165,-413021596687.5481,-1313739538855.294,-516350004027.5583,-985582666437.5388,-2663665026433.9224,-3187242477810.498,3238213860521.3755
-25292921.81285298,-8435131.756416028,-153909405508.10675,-31762331122.9402,79060766490.45161,-141038752090.6426,-149240813970.38495,92009426226.45258,-173798797406.71542,-156538210677.72296,-647944788717.8737,-416988016884.28906,-1312466099419.97,-519578786176.9756,-983283304772.4304,-2664515363032.83,-3188635967341.9316,3236842928690.9507
-26495888.22626293,-8921924.413967673,-151056341533.70645,-40681428868.12706,88186022992.79921,-136907019632.09613,-155004334950.56277,83896426047.52185,-168110467366.82724,-163037666064.05176,-645394872170.248,-420938906920.50354,-1311184631499.4126,-522804410048.1895,-980983207216.7123,-2665363704724.2344,-3190028874455.347,3235471405044.3115
-27725177.855519295,-9425318.9470652,-147525935566.7908,-49439383382.18304,96976224996.26628,-132218534153.73477,-160288430583.05936,75506083338.46187,-162193886166.22714,-169323705845.45886,-642820766283.2028,-424874119070.76,-1309895142970.1565,-526026856060.33655,-978682375488.3292,-2666210050863.146,-3191421198897.5703,3234099289833.686
-28980652.36631751,-9945490.584707579,-143322356620.4591,-57993862960.39977,105403203989.98126,-127002205142.0443,-165083469796.7628,66868342809.390686,-156057608639.49762,-175388599106.7585,-640222567599.3997,-428793506192.8882,-1308597641757.3188,-529246104650.2225,-976380811305.7369,-2667054400806.024,-3192812940415.5327,3232726583311.4067
-30262172.211734153,-10482612.226980748,-138451396333.10815,-66301478480.56555,113441076449.04163,-121287580370.6393,-169381684575.3656,58013065570.67327,-149710441657.43082,-181224977636.1318,-637600373545.5818,-432696921733.2462,-1307292135834.5215,-532462136272.4174,-974078516387.9003,-2667896753910.7773,-3194204098756.273,3231353285729.91
-31569596.573005352,-11036854.44295048,-132920702080.4222,-74317662649.10394,121066152398.76468,-115104723103.6221,-173177105121.097,48969924233.53394,-143161427858.82925,-186825843810.14124,-634954282429.1272,-436584219731.96936,-1305978633223.8125,-535674931399.3515,-971775492454.292,-2668737109536.7656,-3195594673666.937,3229979397341.737
-32902783.311741453,-11608385.454838457,-126740051574.89897,-81996568626.59332,128256846679.96533,-108484104761.59605,-176465491175.49362,39768307034.49431,-136419829147.5538,-192184577690.71634,-632284393434.573,-440455254828.20056,-1304657141995.5874,-538884470521.4111,-969471741224.8914,-2669575467044.801,-3196984664894.778,3228604918399.5312
-34261588.93233221,-12197371.11111646,-119921672440.31203,-89290994321.75632,134993593776.6683,-101456511284.61797,-179244260416.4602,30437230764.53431,-129495109997.59067,-197294943327.7674,-629590806620.1111,-444309882265.3022,-1303327670268.5115,-542090734147.0355,-967167264420.1826,-2670411825797.1475,-3198374072187.155,3227229849156.0415
-35645868.55302462,-12803974.850327915,-112480610101.89948,-96152340519.593,141258766848.55853,-94052961551.36783,-181512414770.67514,21005262215.12858,-122396920608.96736,-202151094263.79825,-626873622914.0546,-448147957896.0491,-1301990226209.4407,-545293702802.8145,-964862063761.1539,-2671246185157.526,-3199762895291.5347,3225854189864.1196
-37055475.88404297,-13428357.656602226,-104435146798.72127,-102530613238.666,147036601428.85724,-86304636338.72995,-183270465399.17612,11500447797.866316,-115135079957.20981,-206747578239.57962,-624132944111.2753,-451969338187.8025,-1300644818033.3433,-548493357033.586,-962556140969.2959,-2672078544491.111,-3201151133955.4917,3224477940776.7217
-38490263.21117626,-14070678.006968888,-95807273437.94661,-108374483303.97179,152313124098.67294,-78242816427.5037,-184520357033.30927,1950250951.2080746,-107719558778.70432,-211079341102.5936,-621368872869.6125,-455773880227.6651,-1299291454003.2214,-551689677402.5344,-960249497766.6,-2672908903164.5356,-3202538787926.7075,3223101102146.9067
