t,T1,T2,T3,T4,T5,T6,T7,T8,T9
1.54,12.075236218093703,6.1606965398351825,14.978460027698588,20.365487774909806,22.59743614955373,19.503912008520228,31.02581609795795,65.80098656158015,54.360610646271425
1.56,12.48000809247941,6.00455366334912,14.37143413380592,20.343526788136966,22.598741845060168,19.416279829664703,28.644888215999487,64.17698177940918,55.033073204764186
1.58,12.920424111158475,5.914829325204598,13.790597517067638,20.31942020871304,22.600117269736536,19.348805359100673,26.238822983209516,62.35760853632968,55.55405314229761
1.6,13.394390134119352,5.891981719168551,13.238740834737378,20.293278512155386,22.601534904062238,19.301817512387416,23.819156699334975,60.35158083749275,55.921049544128365
1.62,13.899650433500335,5.9361490900108125,12.718517316202444,20.265221979635015,22.602967011745864,19.275547004169404,21.397491545975367,58.168507653814366,56.13229939441039
1.6400000000000001,14.433798408638557,6.04714891200914,12.23242999609969,20.235380127222275,22.604385772689227,19.270125233288915,18.985440013279312,55.81884698413972,56.18678607730799
1.6600000000000001,14.994288042093347,6.2244786160662695,11.782819658491,20.203891089874077,22.60576341645861,19.28558364736694,16.594569235831216,53.313855786520556,56.08424427537023
1.68,15.578446023836799,6.467317849464524,11.371853557455555,20.170900964118527,22.607072355475204,19.321853586672585,14.236345563671772,50.66553610359477,55.825161267940246
1.7,16.183484486626213,6.774532244591626,11.001514954163042,20.13656311257372,22.608285317368882,19.37876660337032,11.922079599351115,47.886577642040194,55.410774657543804
1.72,16.806514306186873,7.144678719239105,10.673593544594443,20.10103743270194,22.60937547581533,19.456055267379607,9.662871985066863,44.990296994410194,54.84306644098171
1.74,17.444558874740363,7.576012212927068,10.389676785069572,20.064489595041543,22.61031657927829,19.55335443266147,7.469560175110282,41.99057395340921,54.12475361969599
1.76,18.09456833107942,8.06649394948538,10.15114222390646,20.02709025149032,22.611083076963087,19.67020299630917,5.352666488096288,38.901784941041214,53.25927510812746
1.78,18.753434105446136,8.613801003766334,9.959150776777658,19.989014222031443,22.611650241489173,19.80604608429625,3.322347630251902,35.73873429391017,52.250775432634484
1.8,19.418003788132967,9.215337331121566,9.81464109331737,19.950439658851867,22.611994287524247,19.960237717973474,1.3883460150554128,32.516583274397775,51.1040848178471
1.82,20.085096195639597,9.868246039991535,9.718324937619037,19.91154719540129,22.612092486061467,20.132043894853386,-0.4400570018117702,29.250777486964807,49.8246961552028
1.84,20.751516593912022,10.569422976042015,9.670683695722815,19.87251908231183,22.61192327348017,20.320646110310566,-2.154085609903057,25.956972829532056,48.418738655315835
1.86,21.414071981736033,11.315531441516152,9.671965943116708,19.83353831600433,22.611466355186963,20.52514526651715,-3.745511681180866,22.65096051211089,46.89294858458041
1.8800000000000001,22.069586379302425,12.103018078414092,9.72218616200264,19.794787762822164,22.610702803020466,20.744565982571896,-5.206694214119091,19.348591359231268,45.25463698108078
1.9000000000000001,22.714916044297176,12.928129769396387,9.821124549843987,19.756449283376778,22.60961514628352,20.97786126114905,-6.530616038921184,16.06569982634957,43.511654684328214
1.92,23.34696453622708,13.786931519857522,9.968327971357647,19.718702861482473,22.608187455649272,21.22391750493158,-7.710917471549295,12.818028093412192,41.67235472788371
